kind,address,name,file,line,votes,detail
callee-kept,00799a2d,dx9_PlatformCapSetValue (dx9_PlatformCapSetValue),,,1/1,"from 00799a5a: dx9_PlatformCapSetValue( eCap; dx9_CapGetValue( eCap ) )"
callee-kept,007a8a23,e_CellCreatePhysicalPortalPair (e_CellCreatePhysicalPortalPair),,,1/1,"from 0046e66d: e_CellCreatePhysicalPortalPair( room->pConnections[ii].nCullingPortalID; pOtherConn->nCullingPortalID; nThisCell; nOtherCell; room->pConnections[ii].pvBorderCorners; pOtherConn->pvBorderCorners; 4; room->pConnections[ii].vBorderNormal; pOtherConn->vBorderNormal; 0; 0 )"
callee-kept,00795e23,sUpdateCanvasD3DTexture (sUpdateCanvasD3DTexture),,,1/1,"from 004d1097: sUpdateCanvasD3DTexture( pCanvas )"
callee-kept,007bf226,sMovieRemove (sMovieRemove),,,2/3,"from 004b5fa0: e_MovieRemove( sghEngineMovie )"
callee-kept,00799a18,dx9_PlatformCapGetMinMax (dx9_PlatformCapGetMinMax),,,1/1,"from 007e6fda: dx9_PlatformCapGetMinMax(nFlag; nMin; nMax)"
callee-kept,007ede1a,sSaveDataToFile (sSaveDataToFile),,,1/1,"from 007ee0f1: sSaveDataToFile( tData; tContext )"
callee-kept,007b8a10,sParticleSystemLoadGPUSimTexture (sParticleSystemLoadGPUSimTexture),,,3/3,"from 007b8ab1: sParticleSystemLoadGPUSimTexture( pDefinition->nDensityTextureId; pDefinition->pszTextureDensityName; D3DFMT_A8R8G8B8 )"
callee-kept,0078a613,e_DoWindowSize (e_DoWindowSize),,,1/1,"from 0078b1e4: e_DoWindowSize(e_OptionState_GetActive()->get_nFrameBufferWidth(); e_OptionState_GetActive()->get_nFrameBufferHeight())"
callee-kept,0078ba14,sCameraAdjustNearPortal (sCameraAdjustNearPortal),,,1/1,"from 0078bb54: sCameraAdjustNearPortal( pUpdatedCell; nCell; pCameraInfo )"
callee-kept,007e1611,dxC_MeshListBeginNew (dxC_MeshListBeginNew),,,2/2,"from 007ef38b: dxC_MeshListBeginNew( tRPD.nMeshListID; pMeshList )"
callee-kept,007f260e,GetStopIndex (GetStopIndex),,,6/6,"from 007f2685: GetStopIndex(nMinStopName; nMinStopIndex)"
callee-kept,0078ce09,dxC_GetModelRenderAABBInObject (dxC_GetModelRenderAABBInObject),,,1/1,"from 007eb2d1: dxC_GetModelRenderAABBInObject( pModel; &tBBox )"
callee-kept,007e920f,e_AdInstanceSetModelData (e_AdInstanceSetModelData),,,1/1,"from 0077e9c7: e_AdInstanceSetModelData( pData )"
callee-kept,0079de0b,e_TextureNewFromFileInMemory (e_TextureNewFromFileInMemory),,,1/1,"from 007e9459: e_TextureNewFromFileInMemory( &nTextureID; (BYTE*)pAdData; nDataLengthBytes; TEXTURE_GROUP_BACKGROUND; TEXTURE_DIFFUSE; (DWORD)(1 << (9)) )"
callee-kept,007d860f,dxC_RTGetDirty (dxC_RTGetDirty),,,1/1,"from 0077bd0b: dxC_RTGetDirty( dxC_GetCurrentRenderTarget(); bDirty )"
callee-kept,007c5e0f,sSetSHEffectParameters (sSetSHEffectParameters),,,1/1,"from 007c64f6: sSetSHEffectParameters( pModel; pEffect; pEffectDef; tTechnique; pEnvDef; tLights; tMeshLights; bForceCurrentEnv )"
callee-kept,0078160c,dx9_EffectSetVectorArray (dx9_EffectSetVectorArray),,,2/2,"from 007d8edc: dx9_EffectSetVectorArray( pEffect; hParam; offsets; 4 )"
callee-kept,007b7a0f,sCreateMeshForConstantBufferDuplication (sCreateMeshForConstantBufferDuplication),,,1/1,"from 007b7d92: sCreateMeshForConstantBufferDuplication( pParticleSystemDef; pModelDefinition; pModelFile; pwFileIndexBuffer; pbFileStart )"
callee-kept,0078e20f,e_ModelSetFlagbit (e_ModelSetFlagbit),,,11/12,"from 00468eea: e_ModelSetFlagbit( pRoom->pLayoutSelections->pPropModelIds[i]; MODEL_FLAGBIT_DISTANCE_CULLABLE; 1 )"
